dataset,solution,algo,n_nodes,efficiency_score,avg_time_min,avg_dist_km,avg_detour_ratio,total_trips_year,total_person_hours
sv1.2/dv0.1_ds01_seed42_tp3M_nc15,v1_greedy_mst,V1 Greedy MST,15,0.6940531706268405,86.44870816714294,110.71009198511427,1.5348301223682537,53743908.48,77434857.66581932
sv1.2/dv0.1_ds02_seed43_tp3.5M_nc18,v1_greedy_mst,V1 Greedy MST,18,0.9221637416332212,65.06436687017806,83.52038296788847,1.8046026251932183,66727001.09,72359167.9844422
sv1.2/dv0.1_ds03_seed44_tp4M_nc20,v1_greedy_mst,V1 Greedy MST,20,0.7533096455420502,79.64852216491468,102.10133141149538,1.6951893675791243,72604710.28999999,96380964.61350454
sv1.2/dv0.1_ds04_seed45_tp2.5M_nc22,v1_greedy_mst,V1 Greedy MST,22,0.6952996597245387,86.29372841023766,110.5779474222942,1.7366423307002845,45388800.07,65279479.7684526
sv1.2/dv0.1_ds05_seed46_tp5M_nc24,v1_greedy_mst,V1 Greedy MST,24,0.7428797894631888,80.76676852840015,103.4765648142116,1.5402670969279486,91040592.88,122550908.19712123
sv1.2/dv0.1_ds06_seed47_tp5.5M_nc26,v1_greedy_mst,V1 Greedy MST,26,0.7920432879465563,75.75343534007519,97.07630807321064,1.7823728788817133,101664066.64,128356704.9770389
sv1.2/dv0.1_ds07_seed48_tp1M_nc28,v1_greedy_mst,V1 Greedy MST,28,0.8818296234555472,68.04035428622068,87.10673678314107,1.5615770522402057,18205942.92,20645646.77319185
sv1.2/dv0.1_ds08_seed49_tp6.5M_nc30,v1_greedy_mst,V1 Greedy MST,30,0.5198628388926627,115.41505857160976,147.88965050544013,2.3613078092234945,114995636.82,221203802.65099776
sv1.2/dv0.1_ds09_seed50_tp0.5M_nc32,v1_greedy_mst,V1 Greedy MST,32,0.7997503717796131,75.0234099503916,96.10042504773097,1.9035559241829936,8877330.38,11100126.606063427
sv1.2/dv0.1_ds10_seed51_tp1.5M_nc35,v1_greedy_mst,V1 Greedy MST,35,0.5989209535464606,100.18016508641917,128.41043238296547,2.707494270891479,27465315.51,45857997.36570648
